dateCrawled,name,price,,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen
2016-03-08 22:57,A2_1_4_S_line,2050,audi a2 limousine Manual 2002 10,test,limousine,2002,Manual,0,a2,150000,10,diesel,audi,,2016-03-08 0:00,76199,2016-03-08 22:57
2016-03-09 18:45,SportbackDIESELTOOOPP!!!,7855,audi a5 limousine Automatic 2009 9,test,limousine,2009,Automatic,0,a5,150000,9,diesel,audi,nein,2016-03-09 0:00,50374,2016-03-09 18:45
2016-03-12 18:39,A3_1.9TDI_Leder,2400,audi a3 kombi Manual 2004 11,test,kombi,2004,Manual,0,a3,150000,11,diesel,audi,,2016-03-12 0:00,51065,2016-03-12 18:39
2016-03-14 1:52,??????_neuer_TÃ?Å?�V,7500,audi a6 kombi Automatic 2005 7,control,kombi,2005,Automatic,0,a6,150000,7,diesel,audi,ja,2016-03-13 0:00,28237,2016-03-17 18:47
2016-03-29 22:52,Guten__zustand,1500,audi a4 limousine Manual 1995 9,test,limousine,1995,Manual,0,a4,150000,9,benzin,audi,nein,2016-03-29 0:00,46499,2016-04-02 17:48
2016-04-01 15:53,Audi_S4,3800,audi andere limousine Automatic 2003 2,test,limousine,2003,Automatic,0,andere,150000,2,diesel,audi,nein,2016-04-01 0:00,56070,2016-04-01 15:53
2016-04-02 13:46,Audi_TT_1.8_Turbo_20V_Topgepflegt_und_fertig_zum_Losfahren_;_,8900,audi tt coupe Manual 2001 5,test,coupe,2001,Manual,0,tt,100000,5,benzin,audi,,2016-04-02 0:00,44534,2016-04-06 11:46
2016-03-05 18:25,BMW_Vollausstattung.Kompfortsitze,16450,bmw x_reihe limousine Automatic 2008 8,control,limousine,2008,Automatic,0,x_reihe,150000,8,,bmw,nein,2016-03-05 0:00,56070,2016-03-23 21:18
2016-03-08 18:46,Zwei_BMW_735i,2200,bmw  limousine Manual 1988 3,test,limousine,1988,Manual,0,,150000,3,,bmw,,2016-03-08 0:00,29313,2016-03-14 11:16
2016-03-10 9:52,BMW_728I_mit_LED_Rueckleuchten,1850,bmw 7er limousine Automatic 1997 6,test,limousine,1997,Automatic,0,7er,150000,6,benzin,bmw,,2016-03-10 0:00,88046,2016-04-06 7:16
2016-03-11 14:52,BMW_an_Bastler,700,bmw  kombi Manual 1999 1,control,kombi,1999,Manual,0,,150000,1,benzin,bmw,ja,2016-03-11 0:00,18184,2016-03-12 4:44
2016-03-11 14:57,Autoverkauf,899,bmw 3er limousine Manual 1996 3,control,limousine,1996,Manual,0,3er,20000,3,benzin,bmw,ja,2016-03-11 0:00,76703,2016-03-15 5:46
2016-03-12 19:52,tausche_bmw,1200,bmw 3er kombi Manual 1999 0,test,kombi,1999,Manual,0,3er,150000,0,benzin,bmw,nein,2016-03-12 0:00,48231,2016-03-17 23:18
2016-03-12 23:36,318_Benzin__hat_kein_tuev,1100,bmw 3er limousine Manual 1998 4,control,limousine,1998,Manual,0,3er,150000,4,,bmw,nein,2016-03-12 0:00,27568,2016-03-16 14:45
2016-03-13 13:11,bmw_x1_mit_viel_ekstras,14800,bmw x_reihe suv Manual 2011 0,test,suv,2011,Manual,0,x_reihe,100000,0,diesel,bmw,,2016-03-12 0:00,56288,2016-03-15 18:15
2016-03-15 9:38,2400_euroo__BWM_320_AUTO_TOooooopppp,2400,bmw 3er limousine Manual 1999 10,control,limousine,1999,Manual,0,3er,150000,10,benzin,bmw,,2016-03-15 0:00,33330,2016-03-18 2:46
2016-03-15 14:53,1er_BMW_metallic_blau,15890,bmw 1er limousine Manual 2011 11,control,limousine,2011,Manual,0,1er,50000,11,benzin,bmw,,2016-03-15 0:00,81677,2016-04-06 6:45
2016-03-16 12:47,BMWX1_FACELIFT_2.0_XDRIVE,19500,bmw  suv Automatic 2012 0,test,suv,2012,Automatic,0,,40000,0,diesel,bmw,,2016-03-16 0:00,12099,2016-03-21 13:15
2016-03-16 13:48,BMW_X3_Vollausstattung__Automatik,9999,bmw x_reihe suv Automatic 2004 0,control,suv,2004,Automatic,0,x_reihe,150000,0,benzin,bmw,,2016-03-16 0:00,45127,2016-03-17 11:45
2016-03-16 15:53,BMW_X1,15390,bmw x_reihe limousine Manual 2010 11,test,limousine,2010,Manual,0,x_reihe,150000,11,diesel,bmw,nein,2016-03-16 0:00,52078,2016-03-22 23:45
2016-03-17 14:51,BMW_520i_E60_*Leder*_AHK*_Navi,6050,bmw 5er limousine Manual 2003 11,control,limousine,2003,Manual,0,5er,150000,11,benzin,bmw,nein,2016-03-17 0:00,10555,2016-03-19 14:20
2016-03-17 14:53,530_d_Individual_E39_Zimt_M_Paket,3300,bmw 5er limousine Manual 2003 9,control,limousine,2003,Manual,0,5er,150000,9,diesel,bmw,,2016-03-17 0:00,40210,2016-03-17 14:53
2016-03-17 17:48,318i_top_Zustand_mit_tuev,1800,bmw 3er limousine Manual 1999 3,control,limousine,1999,Manual,0,3er,150000,3,benzin,bmw,ja,2016-03-17 0:00,66117,2016-03-21 23:44
2016-03-17 20:47,verkaufe_3er_tuerk,6000,bmw 3er kleinwagen Manual 2007 1,control,kleinwagen,2007,Manual,0,3er,150000,1,benzin,bmw,nein,2016-03-17 0:00,48147,2016-03-17 20:47
2016-03-19 13:46,320_diesel,2400,bmw 3er limousine Manual 2004 9,test,limousine,2004,Manual,0,3er,150000,9,diesel,bmw,,2016-03-19 0:00,4207,2016-03-19 13:46
