price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
18300,test,coupe,2011,Manual,190,,125000,5,diesel,audi,ja,2016-03-24 0:00,0,66954,2016-04-07 1:46
9800,test,suv,2004,Automatic,163,grand,125000,8,diesel,jeep,,2016-03-14 0:00,0,90480,2016-04-05 12:47
1500,test,kleinwagen,2001,Manual,75,golf,150000,6,benzin,volkswagen,nein,2016-03-17 0:00,0,91074,2016-03-17 17:40
3600,test,kleinwagen,2008,Manual,69,fabia,90000,7,diesel,skoda,nein,2016-03-31 0:00,0,60437,2016-04-06 10:17
650,test,limousine,1995,Manual,102,3er,150000,10,benzin,bmw,ja,2016-04-04 0:00,0,33775,2016-04-06 19:17
2200,test,cabrio,2004,Manual,109,2_reihe,150000,8,benzin,peugeot,nein,2016-04-01 0:00,0,67112,2016-04-05 18:18
14500,control,bus,2014,Manual,125,c_max,30000,8,benzin,ford,,2016-04-04 0:00,0,94505,2016-04-04 23:42
999,test,kleinwagen,1998,Manual,101,golf,150000,0,,volkswagen,,2016-03-17 0:00,0,27472,2016-03-31 17:17
2000,control,limousine,2004,Manual,105,3_reihe,150000,12,benzin,mazda,nein,2016-03-26 0:00,0,96224,2016-04-06 10:45
2799,control,kombi,2005,Manual,140,passat,150000,12,diesel,volkswagen,ja,2016-04-07 0:00,0,57290,2016-04-07 10:25
999,control,kombi,1995,Manual,115,passat,150000,11,benzin,volkswagen,,2016-03-15 0:00,0,37269,2016-04-01 13:16
2500,control,kombi,2004,Manual,131,passat,150000,2,,volkswagen,nein,2016-03-21 0:00,0,90762,2016-03-23 2:50
17999,control,suv,2011,Manual,190,navara,70000,3,diesel,nissan,nein,2016-03-21 0:00,0,4177,2016-04-06 7:45
1750,control,kleinwagen,2004,Automatic,75,twingo,150000,2,benzin,renault,nein,2016-03-20 0:00,0,65599,2016-04-06 13:16
7550,test,bus,2007,Manual,136,c_max,150000,6,diesel,ford,nein,2016-03-23 0:00,0,88361,2016-04-05 18:45
1850,test,bus,2004,Manual,102,a_klasse,150000,1,benzin,mercedes_benz,nein,2016-04-01 0:00,0,49565,2016-04-05 22:46
10400,control,coupe,2009,Manual,160,scirocco,100000,4,benzin,volkswagen,nein,2016-04-01 0:00,0,75365,2016-04-05 16:45
3699,test,limousine,2002,Automatic,231,5er,150000,7,benzin,bmw,nein,2016-03-27 0:00,0,68309,2016-04-07 6:44
500,test,limousine,1990,Manual,118,andere,150000,10,benzin,mercedes_benz,ja,2016-03-13 0:00,0,35390,2016-03-13 20:40
2500,control,kombi,2002,Automatic,193,5er,150000,9,diesel,bmw,ja,2016-03-18 0:00,0,73765,2016-03-18 21:44
6900,test,limousine,2008,Manual,99,civic,60000,11,benzin,honda,nein,2016-03-07 0:00,0,12621,2016-03-26 9:44
